epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6762,0.65644,1.93222,0.86384,0.92717,0.5853,0.77438,0.59194,0.75038,2.54192,0.85019,0.00048,0.00048,0.00048
2,78.4905,0.71543,1.26068,0.89975,1,0.43434,0.88309,0.71975,0.70281,2.76495,0.8724,0.000976766,0.000976766,0.000976766
3,117.7,0.70378,1.13414,0.91773,0.87476,0.72255,0.89152,0.70329,0.80923,2.4942,0.91877,0.00147023,0.00147023,0.00147023
4,157.607,0.7764,1.11855,0.92638,0.88422,0.70231,0.77973,0.60514,0.78687,2.43433,0.92939,0.0019604,0.0019604,0.0019604
5,197.18,0.78243,1.16614,0.93565,0.95633,0.94253,0.98592,0.77687,0.80201,1.46427,0.93302,0.0019736,0.0019736,0.0019736
6,235.897,0.74972,0.99584,0.92225,0.97584,0.92848,0.98365,0.8141,0.70723,1.21351,0.91161,0.001967,0.001967,0.001967
7,279.036,0.73018,0.9748,0.92021,0.97674,0.96532,0.97948,0.81809,0.67788,1.20204,0.90685,0.0019604,0.0019604,0.0019604
8,321.856,0.72893,0.91084,0.9467,0.89034,0.90805,0.93498,0.7507,0.73647,1.18801,0.93055,0.0019538,0.0019538,0.0019538
9,365.027,0.66842,0.82534,0.90524,0.94755,0.98851,0.99154,0.82548,0.65915,1.05104,0.89288,0.0019472,0.0019472,0.0019472
10,407.79,0.64976,0.73537,0.89299,0.97671,1,0.99409,0.85624,0.65298,0.85471,0.88967,0.0019406,0.0019406,0.0019406
11,450.225,0.62887,0.71363,0.89516,0.98764,0.98851,0.99445,0.86775,0.63202,0.77075,0.88659,0.001934,0.001934,0.001934
12,493.724,0.61587,0.69264,0.90211,0.92305,0.96513,0.94299,0.81757,0.62574,0.77109,0.87887,0.0019274,0.0019274,0.0019274
13,536.608,0.61233,0.6678,0.90402,0.9885,0.98773,0.99225,0.87003,0.61386,0.66277,0.88059,0.0019208,0.0019208,0.0019208
14,579.281,0.61569,0.63223,0.88363,0.98652,0.98851,0.99179,0.8282,0.65459,0.66614,0.89661,0.0019142,0.0019142,0.0019142
15,621.981,0.61501,0.59661,0.88942,0.97266,1,0.99397,0.86697,0.65136,0.65129,0.88944,0.0019076,0.0019076,0.0019076
16,665.067,0.5806,0.57357,0.88861,0.98813,0.98851,0.99467,0.87163,0.60417,0.61372,0.87593,0.001901,0.001901,0.001901
17,707.381,0.60128,0.57202,0.88529,0.98466,1,0.99477,0.84947,0.6247,0.60236,0.87621,0.0018944,0.0018944,0.0018944
18,750.076,0.58361,0.52984,0.87405,0.976,1,0.99208,0.8534,0.62504,0.58374,0.87841,0.0018878,0.0018878,0.0018878
19,793.543,0.62627,0.5671,0.88685,0.98012,1,0.98523,0.84586,0.59251,0.58233,0.87725,0.0018812,0.0018812,0.0018812
20,836.447,0.6067,0.53267,0.88258,0.97632,1,0.98765,0.86503,0.56932,0.54289,0.86355,0.0018746,0.0018746,0.0018746
21,879.547,0.59363,0.53264,0.87895,0.97533,1,0.98577,0.86098,0.60872,0.51948,0.88376,0.001868,0.001868,0.001868
22,922.202,0.55915,0.51603,0.8667,0.97666,1,0.98818,0.87789,0.58037,0.4977,0.87149,0.0018614,0.0018614,0.0018614
23,964.986,0.56522,0.49998,0.88603,0.98672,1,0.99398,0.88235,0.55627,0.47479,0.86778,0.0018548,0.0018548,0.0018548
24,1007.52,0.5415,0.49703,0.87525,0.97661,1,0.99455,0.88653,0.53102,0.46198,0.86326,0.0018482,0.0018482,0.0018482
25,1050,0.53304,0.45401,0.86511,0.97675,1,0.99478,0.88244,0.54843,0.47254,0.86393,0.0018416,0.0018416,0.0018416
26,1093.08,0.55014,0.48275,0.8824,0.96524,1,0.98165,0.86385,0.5706,0.4814,0.87042,0.001835,0.001835,0.001835
27,1135.8,0.55746,0.4717,0.86414,0.98862,0.99838,0.99295,0.87878,0.58957,0.46523,0.87428,0.0018284,0.0018284,0.0018284
28,1180.14,0.54349,0.46693,0.87445,0.9871,1,0.99318,0.86055,0.62546,0.45822,0.87361,0.0018218,0.0018218,0.0018218
29,1223.4,0.55308,0.45922,0.86137,0.97406,1,0.99433,0.87917,0.58936,0.43733,0.87153,0.0018152,0.0018152,0.0018152
